id,alcohol,malic_acid,ash,alcalinity_of_ash,magnesium,total_phenols,flavanoids,nonflavanoid_phenols,proanthocyanins,color_intensity,hue,od280/od315_of_diluted_wines,proline
0,11.73,3.16,2.02,16.35,102.81,0.98,0.14,0.21,0.77,6.72,0.5,1.54,652.43
1,12.33,-0.06,1.47,13.12,73.68,1.41,1.17,0.13,0.97,2.6,0.99,1.87,120.42
2,11.84,2.2,2.43,24.5,86.33,1.43,-0.17,0.54,0.71,5.77,0.5,1.2,644.68
3,13.03,3.31,1.99,17.22,83.23,2.15,2.21,0.21,1.21,3.18,0.8,2.66,885.76
4,12.16,0.76,2.13,16.08,78.92,1.73,0.15,0.55,1.01,4.46,0.65,1.21,515.87
5,12.33,4.81,1.89,18.53,73.31,2.06,1.76,0.19,1.5,0.54,0.53,2.47,100.11
6,12.47,3.06,2.12,20.1,74.75,1.2,0.87,0.52,1.21,3.14,0.68,1.5,288.96
7,12.14,2.96,2.16,17.39,85.37,2.73,2.81,0.43,2.7,1.87,1.38,2.7,348.1
8,11.03,1.82,2.28,18.26,88.55,2.57,2.27,0.26,1.53,2.04,0.68,3.02,460.84
9,12.37,0.83,1.87,14.2,95.04,2.48,2.16,0.18,1.55,3.1,0.69,2.76,621.21
10,11.71,0.13,1.74,12.24,125.04,1.42,1.08,0.25,2.32,1.62,0.88,1.77,508.3
11,11.61,1.18,1.92,19.94,82.31,1.82,1.34,0.27,1.38,1.35,0.89,3.15,413.68
12,12.77,0.8,2.36,16.98,83.09,1.96,1.71,0.17,1.14,1.43,0.91,3.18,560.44
13,12.1,1.26,2.21,23.4,83.28,2.01,2.12,0.36,1.71,1.35,0.81,2.55,237.99
14,12.21,3.63,2.33,20.39,85.4,2.19,0.74,0.48,0.94,7.23,0.52,1.45,462.66
15,13.34,0.79,2.49,22.85,76.79,2.55,2.22,0.13,1.5,1.89,1.21,2.7,206.96
16,12.86,2.07,2.74,19.44,111.32,2.51,2.22,0.33,1.55,3.24,0.93,2.6,587.63
17,12.06,1.67,2.23,19,99.16,0.92,0.46,0.13,0.75,8.72,0.27,0.83,196.82
18,13.58,1.42,2.34,13.02,106.81,3.7,3.45,0.28,1.7,6.37,0.94,3.05,1097.57
